ensembl_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSG00000250561,42.43831255083712,8.985808888645135,3.396774635347741,1.1180747229557052e-5,6.732383830176338e-5,OR7E59P
ENSG00000250722,9503.7203586833,4.100470299094128,0.11009578934226741,1.131184225157489e-304,1.9885653086156076e-301,SEPP1
ENSG00000250891,739.6821022816035,1.5769048895708098,0.4573275734353789,3.1012405429684766e-5,1.751309287668305e-4,CTD-2281M20.1
ENSG00000251081,1102.4793166501356,2.1213843647657002,0.28651314948443374,7.612182990440669e-15,1.1345347255655086e-13,RP11-713M6.2
ENSG00000251165,33.83170137659776,8.393183784645718,3.532182149002566,6.702820014499053e-5,3.5935414591304086e-4,F11-AS1
ENSG00000251442,52.22941223344106,9.50318329414949,3.300892633779057,1.3104940558149758e-6,8.955424782973515e-6,LINC01094
ENSG00000253394,237.63366276999838,2.5924849061969852,0.8808989238813828,1.0974537233002772e-4,5.677659720058041e-4,LINC00534
ENSG00000253616,143.2407266511964,2.3463018298445473,1.7018518930461866,0.002482393159714752,0.009870895849628022,RP11-875O11.3
ENSG00000253632,77.76185526813231,10.393992813882038,3.183737156142487,6.104703776763096e-9,5.45867955460869e-8,RP11-486M23.1
ENSG00000253666,60.427315792168535,9.366950166537869,3.6716238537867305,2.8075198918974298e-5,1.5972425870424228e-4,KB-1615E4.2
ENSG00000253690,39.666321175382926,8.858335694447861,3.3969504960708896,1.4492201507531033e-5,8.586560096130582e-5,RP11-380I10.4
ENSG00000253771,297.8062213370888,2.3876550922537345,0.5973244397693808,2.88777444817764e-6,1.88684746001631e-5,TPTE2P1
ENSG00000253882,3469.096770863857,2.7768491487225693,0.2137395855686143,7.660365090675861e-40,4.429782503668957e-38,RP11-61L23.2
ENSG00000254063,50.01973872895602,9.415395984877964,3.305302564101142,1.7622320532437153e-6,1.1842185925075646e-5,DUXAP2
ENSG00000254192,41.26149903115428,8.955151562716269,3.379363728666511,1.0471569742172242e-5,6.331382984781321e-5,CTC-558O2.2
ENSG00000254204,739.3129207350415,2.0202086900271548,0.5072650426367092,3.408422266492173e-6,2.2077508929181708e-5,RP11-400K9.3
ENSG00000254231,2385.0023854768915,1.6543898529702674,0.24759284719537963,1.5310354284553197e-12,1.9054752081083395e-11,CTD-2284J15.1
ENSG00000255037,39.98508477199932,8.884868441254483,3.3856202398043083,1.2727741927659194e-5,7.60528005497229e-5,RP11-680G24.1
ENSG00000255145,1101.53513635215,2.101542954110507,0.38849092334587776,3.425734470108009e-9,3.1406883503136244e-8,STX17-AS1
ENSG00000255261,41.1098705075919,8.945703316640293,3.3813907997429355,1.0842685898567087e-5,6.543391580977003e-5,OR7E4P
ENSG00000255402,317.566186906913,1.9293883052401635,0.5697641090761875,3.1996404220603844e-5,1.803690197197708e-4,RP11-696P8.2
ENSG00000255644,1174.8901453029275,1.6198018869371096,0.27446105323280173,2.336641707518286e-10,2.406385055496058e-9,RP11-59N23.1
ENSG00000255960,157.85416594815828,11.714362461947314,3.1680171613937564,3.746605394225033e-13,4.889639905551519e-12,RP11-459D22.1
ENSG00000256271,38.05828507740356,8.736058920155592,3.433263098422413,2.3089298689701528e-5,1.3290711405226197e-4,CACNA1C-AS2
ENSG00000256399,47.666111689590345,9.272213703874465,3.3456675544785615,3.851536266630584e-6,2.4769739088799107e-5,RP11-274J7.3
ENSG00000256812,289.2624501176162,1.6028024206512543,0.6636943280831185,6.283375812293385e-4,0.002826474029995178,CAPNS2
ENSG00000257042,875.0152615490365,1.9472326557323572,0.31815715024951396,5.394364085541827e-11,5.884593449691749e-10,RP11-993B23.3
ENSG00000257097,263.41851601924566,1.7006083020522782,0.7272647017194697,7.136672580206469e-4,0.0031737648034899676,CLIP1-AS1
ENSG00000257556,297.70194133999445,2.7915032740734964,1.125500231459359,3.557744322224638e-4,0.001683762722103864,RP11-44N21.1
ENSG00000257838,64.49298298608225,9.992174980651477,3.22753060528312,9.012529260800889e-8,7.127114626192048e-7,RP11-368J21.3
ENSG00000258451,883.8133145984531,3.039562251887548,0.5036105165791247,7.829283792620852e-11,8.428346260402832e-10,RP11-903H12.3
ENSG00000258461,686.4624663076311,1.6850843763971641,0.37500291040192574,3.9769638979839224e-7,2.902762584372363e-6,RP11-164J13.1
ENSG00000258588,8625.351902721697,2.304098309716609,0.12219226748234556,1.6119354786954103e-80,2.906360999766766e-78,TRIM6-TRIM34
ENSG00000258659,5410.144452133565,1.702559800498164,0.17041568223325837,1.1053498980707805e-24,3.1140222008229624e-23,TRIM34
ENSG00000258766,33.50400043454666,8.36537822563024,3.540414588195564,7.226053937822836e-5,3.853493559834872e-4,DIO2-AS1
ENSG00000258818,3427.6677255208174,2.112318126921118,0.2213486167335915,7.906151438816568e-23,1.9954944611439464e-21,RNASE4
ENSG00000258956,40.003612677301504,8.833800556220874,3.4324513079186767,1.9119913026565445e-5,1.1140819060341638e-4,COX4I1P1
ENSG00000259171,3492.1975520863407,2.2465858161018613,0.22353447867933238,5.383824354134987e-25,1.5500103068711968e-23,RP11-903H12.5
ENSG00000259409,1002.1960403422067,1.5904453190697605,0.31356513433241995,2.437675649573312e-8,2.0401389708009537e-7,RP11-521C20.3
ENSG00000259616,410.45258102996945,2.0809829139345997,0.6631969705480952,6.984929752901124e-5,3.7368098780013784e-4,RP11-507B12.2
ENSG00000259675,99.24705933616237,10.88246790823232,3.1530578272218306,1.4071487704532134e-10,1.4785996300168718e-9,RP11-507B12.1
ENSG00000260059,50.01530965605355,9.445069117088613,3.2800561199463005,1.2196167589408636e-6,8.360402734958436e-6,RP11-231E19.1
ENSG00000260377,68.36088680726488,10.091542853886835,3.2365985397016033,7.137654869922815e-8,5.69829263332462e-7,RP11-646E18.4
ENSG00000260604,1138.7486447125048,2.8364464178114215,0.3685580228656336,7.293991912378694e-16,1.1828849706979821e-14,RP1-140K8.5
